genera	relative abundance
Sulfurospirillum_B	3.80E-05
Brumimicrobium	3.74E-05
Syntrophomonas_A	3.61E-05
Flexilinea	3.57E-05
Cupidesulfovibrio	3.54E-05
Rhodococcus	3.52E-05
JAEWRY01	3.51E-05
Aminipila	3.47E-05
Tepidanaerobacter	3.46E-05
JAEUJM01	3.45E-05
JALNZU01	3.29E-05
Domibacillus	3.28E-05
RUG11690	3.27E-05
Anaerotignum	3.26E-05
JAAZFE01	3.25E-05
CAG-115	3.22E-05
JAAZIL01	3.21E-05
Acetanaerobacterium	3.16E-05
CALVLD01	3.15E-05
JAGOCV01	3.13E-05
Desulfotomaculum	3.02E-05
Sporotomaculum	3.01E-05
SKMY01	3.00E-05
Enterococcus_I	2.92E-05
Symbiobacterium	2.79E-05
Stenotrophomonas	2.77E-05
JAEZOU01	2.66E-05
CALJES01	2.59E-05
Thermosynergistes	2.58E-05
67-14	2.52E-05
Pelagibacterium	2.48E-05
JAHJQK01	2.46E-05
JAHJQQ01	2.41E-05
Brooklawnia	2.41E-05
Zoogloea	2.41E-05
JASGTU01	2.41E-05
Methanoregula	2.39E-05
JACCES01	2.39E-05
Holophaga	2.38E-05
MVQI01	2.38E-05
Clostridium_AK	2.37E-05
Gracilibacter	2.32E-05
JAFBAD01	2.32E-05
Miltoncostaea	2.31E-05
SIG502	2.30E-05
Thiomicrospira	2.29E-05
Methanofollis	2.28E-05
ZC3RG10	2.27E-05
Paracoccus	2.26E-05
Moorella	2.26E-05
DTU089	2.26E-05
Koleobacter	2.24E-05
Caldimonas	2.20E-05
Ottowia	2.20E-05
Quisquiliibacterium	2.19E-05
Acetobacter	2.16E-05
Bariatricus	2.16E-05
JAAYJT01	2.13E-05
Coprococcus_A	2.13E-05
JAGVVH01	2.12E-05
Thermaerobacter	2.12E-05
Oceanobacillus	2.07E-05
SURF-21	2.05E-05
Propionicimonas	2.05E-05
RHKX01	2.04E-05
Leucobacter	2.01E-05
CAIVAT01	1.98E-05
CAINNR01	1.97E-05
CHH4-2	1.97E-05
Clostridium_J	1.95E-05
JAAYFB01	1.95E-05
Staphylococcus	1.95E-05
MH13	1.94E-05
Sanguibacter	1.88E-05
WRMS01	1.88E-05
Tidjanibacter	1.84E-05
Aquamicrobium_A	1.83E-05
Fimenecus	1.78E-05
Eubacterium_O	1.77E-05
Marinospirillum	1.75E-05
JADKAV01	1.68E-05
HGM13233	1.68E-05
Parabacteroides	1.66E-05
Draconibacterium	1.65E-05
Azonexus	1.65E-05
GCA-013693735	1.65E-05
Pseudogemmobacter	1.64E-05
Heliomicrobium	1.60E-05
Sporosarcina	1.58E-05
Desulfobulbus	1.57E-05
Aliarcobacter	1.56E-05
Methyloversatilis	1.54E-05
Devosia	1.54E-05
Solibacillus	1.53E-05
Pseudorhodoplanes	1.53E-05
Thiothrix	1.52E-05
VEOV01	1.52E-05
CAIXSE01	1.51E-05
Anaerosalibacter	1.50E-05
Lentibacillus_C	1.46E-05
Nitrosomonas	1.43E-05
Sphaerobacter	1.42E-05
Sporanaerobacter	1.37E-05
Limimorpha	1.36E-05
KBS-96	1.34E-05
Secundilactobacillus	1.33E-05
Inconstantimicrobium	1.33E-05
JAQVDA01	1.32E-05
M0108	1.28E-05
CAG-1782	1.28E-05
JABZIP01	1.27E-05
JAFAFN01	1.27E-05
SKVJ01	1.25E-05
JABDGM01	1.25E-05
Rossellomorea	1.24E-05
Globicatella	1.24E-05
JAMPXD01	1.23E-05
Weizmannia	1.23E-05
SFLA01	1.21E-05
JAMLHN01	1.17E-05
Alcaligenes	1.16E-05
Keratinibaculum	1.15E-05
Brevibacillus	1.15E-05
JAFGMG01	1.14E-05
JAAYLU01	1.14E-05
Aliidiomarina	1.13E-05
GCA-002841655	1.11E-05
Caldicoprobacter	1.08E-05
JADGNF01	1.05E-05
Siculibacillus	1.05E-05
Caloramator	1.04E-05
Fen-1087	1.03E-05
Serinicoccus	1.03E-05
DUOU01	1.03E-05
DTJG01	1.02E-05
GCA-002840305	1.02E-05
Saccharomonospora	1.01E-05
PNOF01	1.00E-05
Burkholderia	9.96E-06
Ruoffia	9.81E-06
WRFZ01	9.78E-06
HGW-1	9.64E-06
Reyranella	9.55E-06
Thalassospira	9.49E-06
Methanocorpusculum	9.42E-06
Eubacterium_G	9.37E-06
Citrobacter	9.25E-06
Nanosynbacter	9.25E-06
JAHFOQ01	9.25E-06
Perlabentimonas	9.24E-06
JAAZFF01	9.19E-06
JAAYXZ01	9.12E-06
WQUU01	9.11E-06
DULV01	9.08E-06
Thiopseudomonas	8.97E-06
Treponema_F	8.95E-06
Saccharopolyspora	8.93E-06
JAEUMG01	8.84E-06
Desemzia	8.80E-06
Gottschalkia_A	8.66E-06
Savagea	8.64E-06
Acetobacterium	8.59E-06
JAISUQ01	8.57E-06
Laceyella	8.52E-06
Hazenella	8.48E-06
Aristaeella	8.47E-06
Clostridium_AM	8.46E-06
Oligosphaera	8.35E-06
JAGOOV01	8.29E-06
JAIBBY01	8.15E-06
Brevundimonas	8.12E-06
JAMDDA01	8.10E-06
JACCZE01	8.05E-06
MLS-D	7.98E-06
Clostridium_D	7.98E-06
2011-GWC2-44-17	7.98E-06
RF16	7.95E-06
Schnuerera	7.94E-06
Absicoccus	7.87E-06
WRAV01	7.79E-06
Nitrosocosmicus	7.71E-06
Thermogutta	7.67E-06
Deinococcus	7.64E-06
Methanobacterium_C	7.57E-06
Chazhemtobacterium	7.54E-06
Enterocola	7.50E-06
DSM-111022	7.42E-06
PHOS-HE28	7.39E-06
Luteimonas_D	7.18E-06
Paraeggerthella	7.18E-06
Propionibacterium	7.16E-06
JAAYBJ01	7.02E-06
CAILAD01	6.99E-06
CALCJH01	6.86E-06
JAJMZJ01	6.74E-06
JAKOSX01	6.68E-06
Thermobacillus	6.66E-06
Parvibacillus	6.60E-06
Caldibacillus_B	6.54E-06
Methylobacterium	6.49E-06
Lawsonella	6.46E-06
CAJXMH01	6.35E-06
Humidesulfovibrio	6.31E-06
Eubacterium	6.28E-06
Ch71	6.23E-06
Alistipes	6.22E-06
Williamwhitmania	6.21E-06
Alkalibaculum	6.17E-06
Promineifilum	6.04E-06
Syntrophus	6.01E-06
Micropruina	5.79E-06
GCA-2746885	5.78E-06
Lutispora	5.76E-06
MWBF01	5.63E-06
Garciella	5.50E-06
Fredericiella	5.47E-06
JAAYCI01	5.44E-06
Clostridium_AN	5.42E-06
Erysipelothrix	5.38E-06
CASEYK01	5.34E-06
Melghirimyces	5.31E-06
